restaurant_name,rating,price_for_one,cuisine,item_name,description,price
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Mexican Quesadilla,Veggies kidney bean and cheese wrapped with tortilla and served with salsa and ... read more,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Mexican Quesadilla,,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Masala Omelette,,₹130
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Cheese Omelette,,₹130
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Quesadilla,Chicken cheese filled in tortilla wrapped served with salsa and sour cream.,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Quesadilla,,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Mint Mojito,Mocktails,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Mint Mojito,[Non Alcoholic],₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Mint Mojito,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Blue Lagoon Mocktail,[Non Alcoholic],₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Blue Lagoon Mocktail,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Strawberry Mojito,[Non Alcoholic],₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Strawberry Mojito,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Watermelon Mojito,[Non Alcoholic],₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Watermelon Mojito,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Peach Iced Tea,,₹99
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Green Apple Mojito,[Non Alcoholic],₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Green Apple Mojito,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Classic Cold Coffee,Classic Cold Coffee,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Classic Cold Coffee,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Hazelnut Classic Cold Coffee,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Caramel Classic Cold Coffee,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Tiramisu Classic Cold Coffee,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chocolate Shake,Shakes,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chocolate Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Oreo Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Choco Hazelnut Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",KitKat Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Strawberry Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Blueberry Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Choco Caramel Shake,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Steamed Momos [8 Pieces],,₹130
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Steamed Momos [8 Pieces],,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Steamed Momos [8 Pieces],,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Brownie with Hot Chocolate,[Veg preparation],₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Brownie with Hot Chocolate,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Choco Lava,,₹120
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Meal,Paneer 160Gm grilled paneer served with mexican rice sauteed veggies and rajma bowl ... read more,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Meal,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Meal,260Gm Grilled chicken served with Mexican rice sauteed veggies and rajma bowl.,₹270
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Meal,,₹270
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Nutella Waffle,,₹158
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Brownie Waffle,,₹158
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Classic Waffle,,₹130
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Choco Chips Waffle,,₹130
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Rice Combo and Biryani,Detect current location,₹150
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Rice Combo and Biryani,Order Online/,₹150
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Fried Rice,Veg With Fried Rice,₹150
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Fried Rice,,₹150
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Rajma Masala Rice Box,Homemade rajma chawal a comforting Indian dish featuring kidney bean curry. Served with ... read more,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Rajma Masala Rice Box,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chole Rice Bowl,Homemade chole chawal a comforting Indian dish featuring kidney bean curry. Served with ... read more,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chole Rice Bowl,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Moong Dal Khichdi,Moong dal khichdi with chutney.,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Moong Dal Khichdi,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Steamed Rice,Plain steamed rice.,₹130
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Steamed Rice,,₹130
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Jeera Rice,Rice with jeera.,₹158
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Jeera Rice,,₹158
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Thali,Chole/Rajma+Sabzi+Rice+4 Tawa Roti+Salad [Subject to Availability],₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Thali,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",6 Poori with Sabji,6 Poori+Sabji+Chutney [Subject to Availability],₹135
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",6 Poori with Sabji,,₹135
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chole Thali,Chole+5 Tawa Butter Roti+Salad [Subject to Availability],₹200
